id;nome;abreviacao;file_source
1;Goleiro;gol;datalake/01-landing/season-2025/pontuados/2025_05_06_19_26_pontuados_rodada_07.json.gz
2;Lateral;lat;datalake/01-landing/season-2025/pontuados/2025_05_06_19_26_pontuados_rodada_07.json.gz
3;Zagueiro;zag;datalake/01-landing/season-2025/pontuados/2025_05_06_19_26_pontuados_rodada_07.json.gz
4;Meia;mei;datalake/01-landing/season-2025/pontuados/2025_05_06_19_26_pontuados_rodada_07.json.gz
5;Atacante;ata;datalake/01-landing/season-2025/pontuados/2025_05_06_19_26_pontuados_rodada_07.json.gz
6;Técnico;tec;datalake/01-landing/season-2025/pontuados/2025_05_06_19_26_pontuados_rodada_07.json.gz
